               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.073807,            0.028056,                   0,             0.01106,             0.53704,            0.021611,           0.0033587,            0.050686,             0.01786,                   0,            0.001076,            0.001076,            0.089776
                  38,            0.072905,            0.026176,                   0,            0.010729,             0.53704,            0.020188,           0.0027038,            0.051767,             0.01757,                   0,           0.0011016,           0.0011016,            0.089502
                  39,            0.074741,            0.026954,                   0,           0.0098788,             0.92593,            0.021559,           0.0029211,            0.052118,            0.017543,                   0,            0.001127,            0.001127,            0.089227
                  40,            0.071316,            0.027327,                   0,            0.010026,                 0.5,            0.025942,           0.0036867,            0.052025,            0.017543,                   0,           0.0011521,           0.0011521,            0.088952
                  41,            0.072965,            0.027886,                   0,            0.020955,             0.14815,            0.027352,           0.0035435,             0.05121,            0.017734,                   0,            0.001177,            0.001177,            0.088677
                  42,            0.073929,             0.02607,                   0,            0.048605,             0.23653,            0.035295,           0.0046873,            0.051467,            0.017662,                   0,           0.0012016,           0.0012016,            0.088402
                  43,            0.071733,            0.028047,                   0,            0.039513,             0.16667,            0.029361,           0.0044532,             0.05313,            0.017197,                   0,            0.001226,            0.001226,            0.088126
                  44,            0.069296,            0.028464,                   0,             0.04323,             0.38889,            0.028166,           0.0041417,            0.053763,            0.016999,                   0,           0.0012501,           0.0012501,             0.08785
                  45,            0.073033,            0.027481,                   0,            0.022489,             0.38889,            0.024595,           0.0035217,            0.052996,             0.01708,                   0,            0.001274,            0.001274,            0.087574
                  46,            0.072192,             0.02732,                   0,            0.068985,            0.074074,            0.034978,            0.004451,             0.05193,            0.017302,                   0,           0.0012976,           0.0012976,            0.087298
                  47,            0.071666,            0.025313,                   0,            0.091959,             0.12963,            0.042872,           0.0053637,            0.052554,            0.017053,                   0,            0.001321,            0.001321,            0.087021
                  48,            0.069861,            0.027912,                   0,             0.12199,             0.14815,            0.046569,           0.0064346,            0.052657,            0.016909,                   0,           0.0013441,           0.0013441,            0.086744
                  49,            0.070236,            0.027552,                   0,             0.23249,             0.21325,            0.094696,            0.011698,            0.051526,            0.017091,                   0,           0.0013669,           0.0013669,            0.086467
                  50,            0.066628,             0.02584,                   0,             0.42214,             0.42593,             0.29021,            0.041712,            0.049085,            0.017483,                   0,           0.0013894,           0.0013894,            0.086189
                  51,             0.06916,            0.026374,                   0,             0.61125,             0.34948,             0.34247,             0.05479,            0.048497,            0.017321,                   0,           0.0014116,           0.0014116,            0.085912
                  52,            0.067237,            0.026666,                   0,             0.52305,             0.38889,             0.36275,            0.066998,            0.048373,            0.017198,                   0,           0.0014335,           0.0014335,            0.085634
                  53,            0.066891,            0.025982,                   0,             0.57842,             0.38889,              0.3908,             0.10401,            0.046574,            0.017307,                   0,           0.0014552,           0.0014552,            0.085355
                  54,            0.065297,            0.026472,                   0,             0.53206,             0.40741,             0.38582,            0.097528,            0.047809,            0.016879,                   0,           0.0014765,           0.0014765,            0.085077
                  55,             0.06523,            0.027202,                   0,             0.64342,             0.40741,             0.48969,             0.16222,            0.044456,            0.016668,                   0,           0.0014975,           0.0014975,            0.084798
                  56,            0.064487,            0.025926,                   0,             0.65489,             0.35185,             0.43368,              0.1059,             0.04929,            0.015819,                   0,           0.0015183,           0.0015183,            0.084518
                  57,            0.064383,            0.024707,                   0,             0.53684,             0.44444,             0.48809,             0.13937,            0.048292,            0.015867,                   0,           0.0015387,           0.0015387,            0.084239
                  58,             0.06467,            0.025641,                   0,             0.42847,             0.61111,              0.5046,             0.17013,            0.046041,            0.015973,                   0,           0.0015588,           0.0015588,            0.083959
                  59,            0.064507,            0.025234,                   0,             0.32578,              0.5727,              0.4234,             0.11268,            0.046901,             0.01543,                   0,           0.0015786,           0.0015786,            0.083679
                  60,            0.063036,            0.025899,                   0,             0.78944,             0.55544,              0.6406,             0.21694,            0.039652,            0.015924,                   0,            0.001598,            0.001598,            0.083398
                  61,            0.062937,            0.023749,                   0,             0.60868,             0.51848,             0.53811,             0.11475,            0.047817,            0.015052,                   0,           0.0016172,           0.0016172,            0.083117
                  62,            0.063626,            0.023622,                   0,             0.55704,             0.62877,             0.60609,             0.15596,             0.04383,            0.015273,                   0,            0.001636,            0.001636,            0.082836
                  63,            0.062098,            0.023379,                   0,             0.41423,             0.59259,             0.45468,             0.14229,            0.044366,            0.015141,                   0,           0.0016544,           0.0016544,            0.082554
                  64,            0.062799,            0.021982,                   0,             0.62996,             0.53596,             0.53321,             0.13025,            0.041063,            0.015085,                   0,           0.0016726,           0.0016726,            0.082273
                  65,            0.062836,              0.0235,                   0,             0.69206,             0.59259,             0.60267,             0.12328,            0.035785,            0.015143,                   0,           0.0016904,           0.0016904,             0.08199
                  66,            0.061336,            0.022802,                   0,             0.81806,             0.66614,             0.69085,             0.17954,            0.037113,            0.015206,                   0,           0.0017078,           0.0017078,            0.081708
                  67,            0.056449,            0.025464,                   0,             0.80325,             0.68519,             0.69735,             0.18097,            0.039116,            0.014803,                   0,           0.0017249,           0.0017249,            0.081425
